case_number,case_link,date_of_receipt,judge,source_page
2-237/2026 ~ М-83/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30850798&case_uid=d8805d1d-bc5b-493b-a1fc-513e74c38568&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,2
2-238/2026 ~ М-82/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851334&case_uid=cd31a39b-61a1-4851-8287-477a5808002f&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,2
2-239/2026 ~ М-81/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30850448&case_uid=c22af37d-6e69-421b-b317-05b1cbf21c34&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,2
2-240/2026 ~ М-80/2026,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849286&case_uid=185eb110-4593-421b-ae58-2fa91b0cb385&delo_id=1540005,09.02.2026,Никифоров Максим Юрьевич,2
2-146/2026 (2-1148/2025;) ~ М-1084/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851037&case_uid=6b81bb43-c407-461d-ad0d-a356e798f994&delo_id=1540005,25.12.2025,Никифоров Максим Юрьевич,2
2-153/2026 (2-1155/2025;) ~ М-1083/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30851021&case_uid=86a3d1f6-fed6-48d0-8ebc-bd389245cace&delo_id=1540005,25.12.2025,Литюк Василий Васильевич,2
2-152/2026 (2-1154/2025;) ~ М-1082/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847374&case_uid=a3247525-ffc8-4c4a-b72d-90e1d65c3353&delo_id=1540005,25.12.2025,Литюк Василий Васильевич,2
2-151/2026 (2-1153/2025;) ~ М-1081/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847343&case_uid=4c7ac62e-e870-4ce9-a368-8546c3736708&delo_id=1540005,25.12.2025,Литюк Василий Васильевич,2
2-144/2026 (2-1146/2025;) ~ М-1080/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847316&case_uid=c7bb26ec-101e-4998-976c-19ea13eef66e&delo_id=1540005,25.12.2025,Никифоров Максим Юрьевич,2
2-150/2026 (2-1152/2025;) ~ М-1079/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843703&case_uid=25096235-a5a6-4c25-826a-516a15f76384&delo_id=1540005,25.12.2025,Литюк Василий Васильевич,2
2-110/2026 (2-1076/2025;) ~ М-994/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30848696&case_uid=95b315a8-0d6f-446b-ac96-7623a5225c85&delo_id=1540005,11.12.2025,Литюк Василий Васильевич,2
2-94/2026 (2-1056/2025;) ~ М-993/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30848683&case_uid=274f3716-ee07-4fef-a3ee-50b23a7263be&delo_id=1540005,11.12.2025,Фок Татьяна Андреевна,2
2-109/2026 (2-1075/2025;) ~ М-992/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30848667&case_uid=ea30d267-24b4-4167-9991-cf55070cb139&delo_id=1540005,11.12.2025,Литюк Василий Васильевич,2
2-93/2026 (2-1055/2025;) ~ М-991/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847063&case_uid=fb7cc8c7-56f9-418d-ba2a-ee426f610b6b&delo_id=1540005,11.12.2025,Фок Татьяна Андреевна,2
2-91/2026 (2-1051/2025;) ~ М-972/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846044&case_uid=21da28bf-1df8-45dc-8882-016e59c1b7e6&delo_id=1540005,03.12.2025,Никифоров Максим Юрьевич,2
2-81/2026 (2-1036/2025;) ~ М-971/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846030&case_uid=443ee861-9a32-4608-a2be-1f4e574e0509&delo_id=1540005,03.12.2025,Фок Татьяна Андреевна,2
2-90/2026 (2-1050/2025;) ~ М-970/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849382&case_uid=ab7c2184-2ad6-4c9a-aba0-15a7663e4b49&delo_id=1540005,03.12.2025,Никифоров Максим Юрьевич,2
2-80/2026 (2-1035/2025;) ~ М-969/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849367&case_uid=1533c3f3-6e5a-4778-93f2-d5d1f9713a1c&delo_id=1540005,03.12.2025,Фок Татьяна Андреевна,2
2-101/2026 (2-1064/2025;) ~ М-968/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849353&case_uid=272e7a8a-19c7-4706-96e9-d97c16b512cf&delo_id=1540005,03.12.2025,Литюк Василий Васильевич,2
2-100/2026 (2-1063/2025;) ~ М-967/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849339&case_uid=8f4bd96b-5298-4bf7-b3d1-c265f0b816f2&delo_id=1540005,03.12.2025,Литюк Василий Васильевич,2
2-79/2026 (2-1034/2025;) ~ М-966/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849324&case_uid=3860a020-1e79-4800-abc0-6f519da5c48e&delo_id=1540005,03.12.2025,Фок Татьяна Андреевна,2
2-99/2026 (2-1062/2025;) ~ М-965/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849197&case_uid=9ebaf10d-c494-48de-8d59-f5b20db5fe65&delo_id=1540005,03.12.2025,Литюк Василий Васильевич,2
2-78/2026 (2-1033/2025;) ~ М-964/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30849300&case_uid=903bbd84-322e-489b-a4e4-696212c4d591&delo_id=1540005,03.12.2025,Фок Татьяна Андреевна,2
2-52/2026 (2-987/2025;) ~ М-918/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30848035&case_uid=794b6d4a-d379-453e-a34e-aa1daf9f58cd&delo_id=1540005,13.11.2025,Фок Татьяна Андреевна,2
2-53/2026 (2-988/2025;) ~ М-917/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30848008&case_uid=d5e7f73a-55f9-4590-aeb0-475fff33c49c&delo_id=1540005,13.11.2025,Фок Татьяна Андреевна,3
2-54/2026 (2-989/2025;) ~ М-916/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847980&case_uid=c590c16d-ac62-4ef2-915e-6cae6fee94cd&delo_id=1540005,13.11.2025,Фок Татьяна Андреевна,3
2-63/2026 (2-1007/2025;) ~ М-915/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847423&case_uid=d04c620a-330f-45de-859d-654833c21974&delo_id=1540005,13.11.2025,Никифоров Максим Юрьевич,3
2-55/2026 (2-990/2025;) ~ М-914/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847283&case_uid=8b8a690f-8e91-4383-b837-37c0b92ee24e&delo_id=1540005,13.11.2025,Фок Татьяна Андреевна,3
2-56/2026 (2-991/2025;) ~ М-913/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847268&case_uid=b21a7b85-bac4-4db0-bf35-045e6889aa91&delo_id=1540005,13.11.2025,Фок Татьяна Андреевна,3
2-977/2025 ~ М-902/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30848223&case_uid=2e302dce-9798-4a34-a51e-f8d008bf23c7&delo_id=1540005,11.11.2025,Фок Татьяна Андреевна,3
2-35/2026 (2-953/2025;) ~ М-873/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30844123&case_uid=ae055128-7baf-4018-9bc9-2320ba8f2e9a&delo_id=1540005,29.10.2025,Никифоров Максим Юрьевич,3
2-36/2026 (2-954/2025;) ~ М-872/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842828&case_uid=c97abd7c-26be-4b79-98c7-85e4d5ef5e0e&delo_id=1540005,29.10.2025,Никифоров Максим Юрьевич,3
2-931/2025 ~ М-856/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30847120&case_uid=9f00d8fa-a3d5-42e2-aba1-538f37f09d54&delo_id=1540005,27.10.2025,Фок Татьяна Андреевна,3
2-946/2025 ~ М-853/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843044&case_uid=0c589008-ec23-4ab9-9a1e-e5a8988f0120&delo_id=1540005,24.10.2025,Литюк Василий Васильевич,3
2-29/2026 (2-925/2025;) ~ М-852/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842791&case_uid=5a2ff7d8-43c1-4e66-a44d-a514ebe60a1c&delo_id=1540005,24.10.2025,Фок Татьяна Андреевна,3
2-924/2025 ~ М-851/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842389&case_uid=0ae46f1e-0a5d-42b2-b0ea-fe3978af0c52&delo_id=1540005,24.10.2025,Фок Татьяна Андреевна,3
2-927/2025 ~ М-850/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842065&case_uid=a682ac9a-8765-4d37-a0f2-84cefd16ae0f&delo_id=1540005,24.10.2025,Никифоров Максим Юрьевич,3
2-928/2025 ~ М-849/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30841996&case_uid=0fd70ec5-5547-4e88-bb0e-8ffe70f25096&delo_id=1540005,24.10.2025,Никифоров Максим Юрьевич,3
2-33/2026 (2-945/2025;) ~ М-848/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30841324&case_uid=1adc374d-5d67-4f5e-957c-bc705dff8a25&delo_id=1540005,24.10.2025,Литюк Василий Васильевич,3
2-921/2025 ~ М-833/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846795&case_uid=5d81f611-da66-4422-beae-893279b4331f&delo_id=1540005,20.10.2025,Никифоров Максим Юрьевич,3
2-16/2026 (2-861/2025;) ~ М-788/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846427&case_uid=0da55510-fa30-45d4-9e4e-88573706ca0f&delo_id=1540005,03.10.2025,Никифоров Максим Юрьевич,3
2-862/2025 ~ М-787/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846399&case_uid=5cba13b0-3d41-4fb2-8be1-caec943fc441&delo_id=1540005,03.10.2025,Никифоров Максим Юрьевич,3
2-874/2025 ~ М-786/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30844668&case_uid=b26dde68-4561-4181-8fe8-dbe424c4e929&delo_id=1540005,03.10.2025,Литюк Василий Васильевич,3
2-22/2026 (2-873/2025;) ~ М-785/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30844635&case_uid=a919427c-f256-40c5-b080-46bd2d136dbe&delo_id=1540005,03.10.2025,Литюк Василий Васильевич,3
2-20/2026 (2-870/2025;) ~ М-781/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846150&case_uid=19f5ce0a-b43c-4bac-a5f6-19064ff1a412&delo_id=1540005,02.10.2025,Литюк Василий Васильевич,3
2-869/2025 ~ М-780/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846122&case_uid=9b917bde-29b7-4606-aa38-6ad2f6d8280b&delo_id=1540005,02.10.2025,Литюк Василий Васильевич,3
2-19/2026 (2-868/2025;) ~ М-779/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846092&case_uid=73a321a7-7de9-40a1-a966-c0f5a62751fd&delo_id=1540005,02.10.2025,Литюк Василий Васильевич,3
2-15/2026 (2-858/2025;) ~ М-778/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30846075&case_uid=38ade64b-7129-45f1-8c03-e53c7e0b3349&delo_id=1540005,02.10.2025,Никифоров Максим Юрьевич,3
2-857/2025 ~ М-777/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845923&case_uid=732664a1-e092-4cb4-87b2-dfc45cf1caee&delo_id=1540005,02.10.2025,Никифоров Максим Юрьевич,3
2-856/2025 ~ М-776/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845908&case_uid=7a2ec62d-0196-4c55-bc59-73ef232a9097&delo_id=1540005,02.10.2025,Никифоров Максим Юрьевич,4
2-18/2026 (2-867/2025;) ~ М-775/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845490&case_uid=cc7552c4-2074-4747-b086-997955518ab1&delo_id=1540005,02.10.2025,Литюк Василий Васильевич,4
2-866/2025 ~ М-774/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845154&case_uid=65b941a3-2668-4ae8-956f-c332dd8d8fcb&delo_id=1540005,02.10.2025,Литюк Василий Васильевич,4
2-854/2025 ~ М-757/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845507&case_uid=5ef4e57e-ef2e-4b78-bbd2-aa327f7bc19d&delo_id=1540005,30.09.2025,Никифоров Максим Юрьевич,4
2-852/2025 ~ М-754/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845043&case_uid=8dba6391-16c5-4d37-9a44-f41a9f3845b7&delo_id=1540005,29.09.2025,Литюк Василий Васильевич,4
2-798/2025 ~ М-699/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845807&case_uid=64940736-2828-4d37-a3ce-871cb9e46d65&delo_id=1540005,10.09.2025,Литюк Василий Васильевич,4
2-783/2025 ~ М-684/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30836776&case_uid=36a5d805-5e2a-4809-b18d-16e48b48a508&delo_id=1540005,05.09.2025,Литюк Василий Васильевич,4
2-764/2025 ~ М-660/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30844847&case_uid=6c899c25-fa4f-41b3-8632-f449056d42bb&delo_id=1540005,28.08.2025,Литюк Василий Васильевич,4
2-727/2025 ~ М-654/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845182&case_uid=dc736a8e-aa07-4dbc-a1a6-34590cc765a9&delo_id=1540005,27.08.2025,Фок Татьяна Андреевна,4
2-762/2025 ~ М-653/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30845169&case_uid=492443ea-6b2c-4706-9f56-b0cf1afef32d&delo_id=1540005,27.08.2025,Литюк Василий Васильевич,4
2-745/2025 ~ М-642/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843352&case_uid=b86bbdc4-bc6f-4f36-afaa-a0e7149e8e67&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-744/2025 ~ М-641/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843331&case_uid=ca3c45bb-cd1f-41b2-9846-1fc040719d3c&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-743/2025 ~ М-640/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843287&case_uid=cf2b4e58-ecd4-4e3a-86d4-87a25492b645&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-742/2025 ~ М-639/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843270&case_uid=0bf9afd2-2264-4886-a81b-fe62f9801e70&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-741/2025 ~ М-638/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843256&case_uid=56b516dd-f146-42db-9cb3-f96fb8c5dc38&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-728/2025 ~ М-637/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843241&case_uid=89041104-d0d7-43b8-b4dd-ebc7669a1212&delo_id=1540005,25.08.2025,Фок Татьяна Андреевна,4
2-740/2025 ~ М-636/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843191&case_uid=e43ac283-1645-4a65-a38d-36003daeb0c2&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-731/2025 ~ М-635/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843174&case_uid=a46335b3-40a9-4ca7-ab26-950ce8e8d5f4&delo_id=1540005,25.08.2025,Фок Татьяна Андреевна,4
2-739/2025 ~ М-634/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843160&case_uid=ebab58e2-29a8-4a11-8425-a494a615bd19&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-738/2025 ~ М-633/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843130&case_uid=e1008f24-89eb-4c6e-a763-8d57a24ddb3f&delo_id=1540005,25.08.2025,Литюк Василий Васильевич,4
2-730/2025 ~ М-632/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843072&case_uid=77a72969-9a5d-41df-804e-90ba2a757e99&delo_id=1540005,25.08.2025,Фок Татьяна Андреевна,4
2-7/2026 (2-729/2025;) ~ М-631/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30842251&case_uid=1076e14f-9d74-4f23-a62f-04afa56974e5&delo_id=1540005,25.08.2025,Фок Татьяна Андреевна,4
2-702/2025 ~ М-604/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843882&case_uid=db18e994-3383-4c86-b941-2c017e119e9b&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,4
2-701/2025 ~ М-603/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843833&case_uid=5829b5f6-6de9-4ff1-b461-5aa9c00b6a46&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,4
2-700/2025 ~ М-602/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843818&case_uid=75e1b177-ea42-477c-8f3b-c48448ab9d41&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,4
2-5/2026 (2-699/2025;) ~ М-601/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843799&case_uid=8a9fb3ea-a9bf-4c63-93df-7a309ce77c98&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
2-698/2025 ~ М-600/2025,https://amv--dnr.sudrf.ru/modules.php?name=sud_delo&srv_num=1&name_op=case&case_id=30843676&case_uid=4b549f36-8075-461a-8bfe-51fc18b5aa38&delo_id=1540005,18.08.2025,Фок Татьяна Андреевна,5
